Sample_name,Locus,file1,file2
NGN0340,COI,Locus_COI_NGN0340_S64_L001_R1_001.fastq,Locus_COI_NGN0340_S64_L001_R2_001.fastq
NGN0341,COI,Locus_COI_NGN0341_S65_L001_R1_001.fastq,Locus_COI_NGN0341_S65_L001_R2_001.fastq
NGN0342,COI,Locus_COI_NGN0342_S66_L001_R1_001.fastq,Locus_COI_NGN0342_S66_L001_R2_001.fastq
MGY11,COI,Locus_COI_MGY11_S67_L001_R1_001.fastq,Locus_COI_MGY11_S67_L001_R2_001.fastq
NGN0343,COI,Locus_COI_NGN0343_S68_L001_R1_001.fastq,Locus_COI_NGN0343_S68_L001_R2_001.fastq
MGY12,COI,Locus_COI_MGY12_S69_L001_R1_001.fastq,Locus_COI_MGY12_S69_L001_R2_001.fastq
NGN0344,COI,Locus_COI_NGN0344_S70_L001_R1_001.fastq,Locus_COI_NGN0344_S70_L001_R2_001.fastq
NGN0345,COI,Locus_COI_NGN0345_S71_L001_R1_001.fastq,Locus_COI_NGN0345_S71_L001_R2_001.fastq
NGN0346,COI,Locus_COI_NGN0346_S72_L001_R1_001.fastq,Locus_COI_NGN0346_S72_L001_R2_001.fastq
NGN0347,COI,Locus_COI_NGN0347_S73_L001_R1_001.fastq,Locus_COI_NGN0347_S73_L001_R2_001.fastq
NGN0348,COI,Locus_COI_NGN0348_S74_L001_R1_001.fastq,Locus_COI_NGN0348_S74_L001_R2_001.fastq
NGN0349,COI,Locus_COI_NGN0349_S75_L001_R1_001.fastq,Locus_COI_NGN0349_S75_L001_R2_001.fastq
NGN0350,COI,Locus_COI_NGN0350_S76_L001_R1_001.fastq,Locus_COI_NGN0350_S76_L001_R2_001.fastq
NGN0351,COI,Locus_COI_NGN0351_S77_L001_R1_001.fastq,Locus_COI_NGN0351_S77_L001_R2_001.fastq
NGN0352,COI,Locus_COI_NGN0352_S78_L001_R1_001.fastq,Locus_COI_NGN0352_S78_L001_R2_001.fastq
NGN0353,COI,Locus_COI_NGN0353_S79_L001_R1_001.fastq,Locus_COI_NGN0353_S79_L001_R2_001.fastq
NGN0354,COI,Locus_COI_NGN0354_S80_L001_R1_001.fastq,Locus_COI_NGN0354_S80_L001_R2_001.fastq
NGN0355,COI,Locus_COI_NGN0355_S81_L001_R1_001.fastq,Locus_COI_NGN0355_S81_L001_R2_001.fastq
NGN0356,COI,Locus_COI_NGN0356_S82_L001_R1_001.fastq,Locus_COI_NGN0356_S82_L001_R2_001.fastq
NGN0357,COI,Locus_COI_NGN0357_S83_L001_R1_001.fastq,Locus_COI_NGN0357_S83_L001_R2_001.fastq
NGN0358,COI,Locus_COI_NGN0358_S84_L001_R1_001.fastq,Locus_COI_NGN0358_S84_L001_R2_001.fastq
NGN0359,COI,Locus_COI_NGN0359_S85_L001_R1_001.fastq,Locus_COI_NGN0359_S85_L001_R2_001.fastq
MGY13,COI,Locus_COI_MGY13_S86_L001_R1_001.fastq,Locus_COI_MGY13_S86_L001_R2_001.fastq
MGY14,COI,Locus_COI_MGY14_S87_L001_R1_001.fastq,Locus_COI_MGY14_S87_L001_R2_001.fastq
MGY15,COI,Locus_COI_MGY15_S88_L001_R1_001.fastq,Locus_COI_MGY15_S88_L001_R2_001.fastq
MGY16,COI,Locus_COI_MGY16_S89_L001_R1_001.fastq,Locus_COI_MGY16_S89_L001_R2_001.fastq
MGY17,COI,Locus_COI_MGY17_S90_L001_R1_001.fastq,Locus_COI_MGY17_S90_L001_R2_001.fastq
