Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
NGN0340,COI,130165,97910,94592,94159,90237,90237,89196
NGN0341,COI,94971,72143,69652,68990,66302,66302,65614
NGN0342,COI,181623,129652,121531,121935,114243,114243,113034
MGY11,COI,131686,105220,102841,102764,99814,99814,97524
NGN0343,COI,172125,126676,121042,121058,113775,113775,108291
MGY12,COI,75524,55109,54852,54804,53946,53946,51011
NGN0344,COI,249456,184790,173325,175149,160943,160943,158377
NGN0345,COI,184852,134005,123499,125360,114282,114282,112125
NGN0346,COI,197283,144481,135495,136224,126770,126770,123844
NGN0347,COI,199359,144086,140355,140031,134825,134825,134447
NGN0348,COI,209620,151822,146857,146513,140183,140183,139609
NGN0349,COI,186070,131678,126320,125846,119950,119950,119077
NGN0350,COI,153323,111749,105748,105879,100698,100698,100264
NGN0351,COI,173479,128992,123411,123525,117637,117637,116405
NGN0352,COI,197963,144143,138547,138429,132409,132409,129633
NGN0353,COI,160376,113073,106189,106405,100052,100052,97074
NGN0354,COI,158785,115616,111713,111289,108210,108210,104893
NGN0355,COI,212690,155581,149236,149187,141262,141262,139584
NGN0356,COI,206818,150218,143114,143204,134881,134881,133276
NGN0357,COI,208299,151733,145652,145663,138024,138024,136766
NGN0358,COI,187519,139966,138208,138326,131939,131939,126676
NGN0359,COI,199835,132128,132074,132024,122737,122737,119231
MGY13,COI,118537,93620,91354,91361,83897,83897,81649
MGY14,COI,161894,124811,122130,122024,116272,116272,113043
MGY15,COI,132065,99823,98637,98819,96759,96759,89763
MGY16,COI,137405,104886,102597,102426,98912,98912,95409
MGY17,COI,129818,99458,97156,96799,93920,93920,91286
